iter	Passed	Remaining
903	1414	150
904	1415	148
905	1416	146
906	1417	145
907	1419	143
908	1420	142
909	1421	140
910	1422	138
911	1423	137
912	1425	135
913	1426	134
914	1428	132
915	1429	131
916	1430	129
917	1432	127
918	1433	126
919	1434	124
920	1435	123
921	1437	121
922	1438	119
923	1439	118
924	1441	116
925	1442	115
926	1444	113
927	1445	112
928	1446	110
929	1447	108
930	1448	107
931	1449	105
932	1451	104
933	1452	102
934	1453	101
935	1455	99
936	1456	97
937	1458	96
938	1459	94
939	1461	93
940	1462	91
941	1463	90
942	1465	88
943	1466	87
944	1467	85
945	1468	83
946	1470	82
947	1471	80
948	1473	79
949	1474	77
950	1475	76
951	1476	74
952	1477	72
953	1478	71
954	1479	69
955	1481	68
956	1482	66
957	1483	65
958	1484	63
959	1486	61
960	1487	60
961	1488	58
962	1490	57
963	1491	55
964	1492	54
965	1493	52
966	1494	51
967	1496	49
968	1497	47
969	1498	46
970	1501	44
971	1502	43
972	1504	41
973	1505	40
974	1506	38
975	1507	37
976	1508	35
977	1509	33
978	1510	32
979	1511	30
980	1513	29
981	1514	27
982	1516	26
983	1518	24
984	1519	23
985	1520	21
986	1522	20
987	1523	18
988	1524	16
989	1525	15
990	1526	13
991	1527	12
992	1529	10
993	1530	9
994	1531	7
995	1533	6
996	1534	4
997	1537	3
998	1538	1
999	1539	0
